,precision,recall,f1-score
AC/HC_Precurs,0.78125,0.9615384615384616,0.8620689655172413
Amacrine Cells,0.9900398406374502,0.9959919839679359,0.993006993006993
Astrocytes,0.9629629629629629,0.9629629629629629,0.9629629629629629
B-Cell,0.9814814814814815,0.8983050847457628,0.9380530973451328
Bipolar Cells,0.9416666666666667,0.9617021276595744,0.951578947368421
Cones,0.8771929824561403,0.9174311926605505,0.8968609865470852
Early RPCs,0.0,0.0,0.0
Endothelial,0.8699186991869918,0.823076923076923,0.8458498023715415
Fibroblasts,0.9577039274924471,0.9406528189910979,0.9491017964071856
Horizontal Cells,0.9894736842105263,0.9038461538461539,0.9447236180904524
Late RPCs,0.0,0.0,0.0
Macrophage,0.8738738738738738,0.941747572815534,0.9065420560747663
Mast,0.7941176470588235,0.8181818181818182,0.8059701492537314
Melanocytes,0.8688524590163934,1.0,0.9298245614035088
Microglia,0.7555555555555555,0.7391304347826086,0.7472527472527473
Monocyte,0.8235294117647058,0.7924528301886793,0.8076923076923077
Muller Glia,0.9883720930232558,0.9831756046267087,0.985767000527148
NA,0.32142857142857145,0.225,0.2647058823529412
Natural Killer,0.7948717948717948,0.8857142857142857,0.8378378378378378
Neurogenic Cells,0.7291666666666666,0.6481481481481481,0.6862745098039215
Pericytes,0.9193548387096774,0.9344262295081968,0.9268292682926829
Photoreceptor Precursors,0.8714285714285714,0.7439024390243902,0.8026315789473685
RPCs,0.8836633663366337,0.9545454545454546,0.9177377892030848
RPE,0.9230769230769231,0.9230769230769231,0.9230769230769231
Red Blood Cells,0.9777777777777777,0.9166666666666666,0.946236559139785
Retinal Ganglion Cells,0.9710144927536232,0.9852941176470589,0.9781021897810219
Rod Bipolar Cells,0.6666666666666666,0.5384615384615384,0.5957446808510638
Rods,0.9906687402799378,0.9932432432432432,0.9919543213080716
Schwann,0.8297872340425532,0.7959183673469388,0.8125
T-Cell,0.9622641509433962,0.9760765550239234,0.9691211401425178
Vein,0.8473684210526315,0.8895027624309392,0.8679245283018867
accuracy,0.9487179487179487,0.9487179487179487,0.9487179487179487
macro avg,0.8111138548846033,0.8080700871252413,0.807997845189043
weighted avg,0.9459297485266147,0.9487179487179487,0.9468253728776802
